"id";"unitid";"unittitle";"unitdate";"date-normalisee";"contenu";"Typologie";"Date début discours";"Date fin discours";"Dossier (récolement DAP)";"URL texte OCR"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"S. l., convention nationale du PS.";"discours dactylographié";"Sd";"Sd";"680AP_172_01_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_01_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Dakar (Sénégal), congrès de l'Association mondiale de prospective sociale (AMPS).";"discours dactylographié";22/01/1980;22/01/1980;"680AP_172_02_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_02_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Paris, intervention devant l'Assemblée nationale.";"discours dactylographié";18/08/1980;18/08/1980;"680AP_172_03_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_03_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Lille (Nord), fête de la Rose.";"discours dactylographié";28/09/1980;28/09/1980;"680AP_172_04_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_04_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Egletons (Corrèze), intervention auprès des jeunes.";"discours dactylographié";03/10/1980;03/10/1980;"680AP_172_05_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_05_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Saint-Léonard de Noblat (Haute-Vienne), intervention auprès des militants socialistes.";"discours dactylographié";04/10/1980;04/10/1980;"680AP_172_06_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_06_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Leteil (Ardèche), fête de la Rose.";"discours dactylographié";05/10/1980;05/10/1980;"680AP_172_07_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_07_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Conflans-Sainte-Honorine (Yvelines), intervention auprès des militants socialistes.";"discours dactylographié";19/10/1980;19/10/1980;"680AP_172_08_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_08_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Épinay-sur-Seine (Seine-Saint-Denis), intervention à la section PS d' Épinay.";"discours manuscrit ; documentation";23/10/1980;23/10/1980;"680AP_172_09_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_09_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Madrid (Espagne), congrès de l'International socialiste.";"discours dactylographié";13/11/1980;13/11/1980;"680AP_172_10_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_10_01\ocr_discours.txt"
"c-1oav9y1ms6c--qtc1va9qdih9";"680AP/172";"Janvier-novembre 1980";1980;"1980-01-01/1980-12-31";"Aurillac (Cantal), élections législatives partielles, soutien à René Souchon.";"discours dactylographié annoté";26/11/1980;26/11/1980;"680AP_172_11_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_172_11_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"S. l. , meeting, campagne des élections législatives.";"discours dactylographié";"Sd";"Sd";"680AP_173_01_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_01_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Paris, présentation du budget devant l'Assemblée nationale.";"discours dactylographié";"Sd";"Sd";"680AP_173_02_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_02_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"S. l., conférence groupe Rencontres, « Le défi du socialisme ».";"discours dactylographié";12/02/1981;12/02/1981;"680AP_173_03_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_03_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"S. l., campagne présidentielle 1981.";"discours dactylographié annoté";14/03/1981;14/03/1981;"680AP_173_04_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_04_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Paris, conférence de l'Association de la presse parlementaire.";"discours dactylographié ; notes manuscrites";18/03/1981;18/03/1981;"680AP_173_05_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_05_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Grenoble (Isère), déplacement pour l'élection présidentielle.";"discours dactylographié annoté ; documentation";16/04/1981;16/04/1981;"680AP_173_06_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_06_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"S. l., deuxième tour de l'élection présidentielle, « Appel à voter François Mitterrand ».";"discours dactylographié";07/05/1981;07/05/1981;"680AP_173_07_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_07_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Bordeaux (Gironde), congrès national de la Fédération nationale des coopératives de consommateurs (FNCC).";"discours dactylographié";11/06/1981;11/06/1981;"680AP_173_08_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_08_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Vichy (Allier), congrès des Sociétés coopératives et participatives (SCOP).";"discours dactylographié";18/06/1981;18/06/1981;"680AP_173_09_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_09_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Saint-Nazaire (Loire-Atlantique), déplacement dans le département.";"documentation";06/07/1981;06/07/1981;"#N/D";
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Nantes (Loire-Atlantique), déplacement dans le département, « Pour une nouvelle politique de l'aménagement du territoire ».";"discours dactylographié";06/07/1981;06/07/1981;"680AP_173_11_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_11_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Tours (Indre-et-Loire), assemblée des présidents des Conseils généraux.";"discours dactylographié";16/09/1981;16/09/1981;"680AP_173_12_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_12_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Paris, rencontre nationale de l'Union du crédit coopératif.";"discours dactylographié ; correspondance";23/09/1981;23/09/1981;"680AP_173_13_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_13_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"S. l., 5e congrès national du mouvement ETHIC.";"discours dactylographié annoté ; documentation";13/10/1981;13/10/1981;"680AP_173_14_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_14_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Besançon (Doubs), 29e congrès de la Commission nationale d'évaluation du recensement (CNERP).";"discours dactylographié";15/10/1981;15/10/1981;"680AP_173_15_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_15_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Valence (Drôme), congrès du PS.";"discours dactylographié";24/10/1981;24/10/1981;"680AP_173_16_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_16_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Montpellier (Hérault), arrivée et présentation des objectifs et thèmes du voyage.";"discours dactylographié";26/10/1981;26/10/1981;"680AP_173_17_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_17_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Montpellier (Hérault), séance de travail avec le Conseil régional.";"discours dactylographié";26/10/1981;26/10/1981;"680AP_173_17_02";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_17_02\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Saverdun (Ariège), inauguration de la maison départementale de l'Ariège.";"discours dactylographié";29/10/1981;29/10/1981;"680AP_173_18_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_18_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Saverdun (Ariège), mise en place du Comité inter-régional de développement et d'aménagement des Pyrénées.";"discours dactylographié";29/10/1981;29/10/1981;"680AP_173_19_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_19_01\ocr_discours.txt"
"c-1ob0v1nii4l-18ma2mh7hc5hb";"680AP/173";"Février-décembre 1981";1981;"1981-01-01/1981-12-31";"Lectoure (Gers), intervention.";"discours dactylographié";29/10/1981;29/10/1981;"680AP_173_20_01";"..\Rocard - Discours - Archives numérisées (FRAN_IR_050330)\680AP_173_20_01\ocr_discours.txt"
