"C Id";"Unitid parent";"Unitid";"Unittitle";"Unitdate";"Nombre photographies";"Première photo";"Dossier";"URL";"Dernière photo lot";"Dossier dernière photo";"URL 2"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";1;"Passation de pouvoir entre Jacques Chirac et Michel Rocard";"10 mai 1988";5;"FRAN_0157_0001_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0001_L.jpg";"FRAN_0157_0005_L.jpg";"680AP_400_1";"..\Rocard - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0005_L.jpg"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";2;"Membres du premier gouvernement de Michel Rocard";"13 mai 1988";1;"FRAN_0157_0006_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0006_L.jpg";;;
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";3;"Conférence de presse de Michel Rocard";"13 mai 1988";1;"FRAN_0157_0007_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0007_L.jpg";;;
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";4;"Entretien avec Louis Le Pensec";"17 mai 1988";1;"FRAN_0157_0008_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0008_L.jpg";;;
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";5;"Michel Rocard et les membres du gouvernement";"17 mai 1988";5;"FRAN_0157_0009_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0009_L.jpg";"FRAN_0157_0013_L.jpg";"680AP_400_1";"..\Rocard - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0013_L.jpg"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";6;"Rencontre entre Michel Rocard et Pierre Mauroy";"17 mai 1988";2;"FRAN_0157_0014_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0014_L.jpg";"FRAN_0157_0015_L.jpg";"680AP_400_1";"..\Rocard - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0015_L.jpg"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";7;"Délégation pour la Nouvelle-Calédonie";"18 mai 1988";1;"FRAN_0157_0016_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0016_L.jpg";;;
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";8;"Interview de Jean-Paul Huchon, directeur du cabinet de Michel Rocard";"19 mai 1988";1;"FRAN_0157_0017_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0017_L.jpg";;;
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";9;"Membres du cabinet de Michel Rocard";"19 mai 1988";2;"FRAN_0157_0018_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0018_L.jpg";"FRAN_0157_0019_L.jpg";"680AP_400_1";"..\Rocard - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0019_L.jpg"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";10;"Michel Rocard et James Baker, secrétaire du Trésor des États-Unis";"19 mai 1988";2;"FRAN_0157_0020_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0020_L.jpg";"FRAN_0157_0021_L.jpg";"680AP_400_1";"..\Rocard - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0021_L.jpg"
"c-1lxlkjd7i--37es6puu3euy";"680AP/400";11;"Michel Rocard et Alain Poher, président du Sénat";"19 mai 1988";1;"FRAN_0157_0022_L.jpg";"680AP_400_1";"..\Rocards - reportages photographiques - Archives numérisées\680AP_400_1\FRAN_0157_0022_L.jpg";;;
